id;start_date;end_date;type_of_briefing
1;2019-12-26T23:15:12;2019-12-26T13:30:38;WORKBR
2;2019-12-26T23:47:24;2019-12-26T21:01:17;IGNISBR
3;2019-12-26T21:38:29;2019-12-27T00:59:38;IGNISBR
4;2019-12-26T22:51:37;2019-12-26T17:02:50;IGNISBR
5;2019-12-26T13:31:26;2019-12-27T00:37:57;WORKBR
6;2019-12-26T17:32:24;2019-12-26T19:09:23;INTROBR
7;2019-12-26T22:39:21;2019-12-27T11:31:20;WORKBR
8;2019-12-27T05:33:11;2019-12-26T14:25:45;IGNISBR
9;2019-12-27T07:16:47;2019-12-26T17:00:46;IGNISBR
10;2019-12-26T13:34:41;2019-12-27T00:03:31;WORKBR
