id;street_address;postal_code;city;region_name
1;Secured productize;schemas;Octaviafurt;KURZEME
2;multi-byte Soft;Colombia Licensed Plastic Hat;Port Miles;ZEMGALE
3;connecting;cross-platform;Rueckerbury;KURZEME
4;e-markets Bike parse;Car Granite stable;North Sylvester;RIGA
5;COM Concrete sky blue;Bolivar Fuerte backing up;Boganmouth;ZEMGALE
6;Plastic Small Soft Pizza;extend Fully-configurable e-services;Lake Julio;LATGALE
7;Designer Beauty;solutions;New Stellashire;KURZEME
8;infomediaries Martinique turn-key;synthesize;Kearaport;LATGALE
9;calculating Checking Account;Movies Democratic People's Republic of Korea synthesizing;North Pete;RIGA
10;connect TCP Mauritius;interface Concrete yellow;West Xzavier;VIDZEME
